chapter_idx,title,total_score,avg_score,sentiment_words,positive_count,negative_count,neutral_count,sentiment_label
0,Глава 1,-2.0,-0.6667,3,1,2,0,negative
1,Глава 2,1.0,0.2,5,3,2,0,positive
2,Глава 3,0.0,0,0,0,0,0,neutral
3,Глава 4,0.0,0,0,0,0,0,neutral
4,Глава 5,0.0,0,0,0,0,0,neutral
5,Глава 6,2.0,1.0,2,2,0,0,positive
6,Глава 7,-2.0,-0.5,4,2,2,0,negative
7,Глава 8,-3.0,-0.6,5,2,3,0,negative
8,Глава 9,2.0,0.1818,11,6,5,0,positive
9,Глава 10,0.0,0.0,3,2,1,0,neutral
10,Глава 11,-2.0,-0.3333,6,2,4,0,negative
11,Глава 12,-2.0,-2.0,1,0,1,0,negative
12,Глава 13,4.0,1.0,4,4,0,0,positive
13,Глава 14,-2.0,-2.0,1,0,1,0,negative
14,Глава 15,1.0,1.0,1,1,0,0,positive
15,Глава 16,-3.0,-1.0,3,1,2,0,negative
16,Глава 17,12.0,1.5,8,8,0,0,positive
17,Глава 18,0.0,0.0,6,3,3,0,neutral
18,Глава 19,0.0,0.0,2,1,1,0,neutral
19,Глава 20,0.0,0,0,0,0,0,neutral
20,Глава 21,0.0,0,0,0,0,0,neutral
21,Глава 22,0.0,0,0,0,0,0,neutral
22,Глава 23,0.0,0,0,0,0,0,neutral
23,Глава 24,0.0,0,0,0,0,0,neutral
24,Глава 25,0.0,0,0,0,0,0,neutral
25,Глава 26,3.0,1.5,2,2,0,0,positive
26,Глава 27,6.0,0.8571,7,6,1,0,positive
27,Глава 28,0.0,0.0,4,2,2,0,neutral
28,Глава 29,-1.0,-0.1667,6,3,3,0,negative
29,Глава 30,0.0,0,0,0,0,0,neutral
30,Глава 31,-2.0,-0.6667,3,1,2,0,negative
31,Глава 32,-3.0,-0.75,4,1,3,0,negative
32,Глава 33,3.0,1.0,3,3,0,0,positive
33,Глава 34,0.0,0.0,3,2,1,0,neutral
34,Глава 35,-14.0,-1.1667,12,2,10,0,negative
35,Глава 36,4.0,1.0,4,4,0,0,positive
36,Глава 37,3.0,1.0,3,3,0,0,positive
37,Глава 38,-4.0,-0.6667,6,2,4,0,negative
38,Глава 39,0.0,0,0,0,0,0,neutral
39,Глава 40,-7.0,-1.0,7,2,5,0,negative
40,Глава 41,-6.0,-0.8571,7,2,5,0,negative
41,Глава 42,-5.0,-1.6667,3,0,3,0,negative
42,Глава 43,2.0,2.0,1,1,0,0,positive
43,Глава 44,9.0,1.2857,7,6,1,0,positive
44,Глава 45,4.0,0.3636,11,8,3,0,positive
45,Глава 46,-2.0,-2.0,1,0,1,0,negative
46,Глава 47,2.0,0.4,5,4,1,0,positive
47,Глава 48,2.0,0.5,4,3,1,0,positive
48,Глава 49,0.0,0,0,0,0,0,neutral
49,Глава 50,-10.0,-2.0,5,0,5,0,negative
50,Глава 51,-1.0,-1.0,1,0,1,0,negative
51,Глава 52,4.0,1.3333,3,3,0,0,positive
52,Глава 53,1.0,1.0,1,1,0,0,positive
53,Глава 54,6.0,1.2,5,4,1,0,positive
54,Глава 55,-16.0,-0.7619,21,6,15,0,negative
55,Глава 56,3.0,0.5,6,4,2,0,positive
56,Глава 57,0.0,0,0,0,0,0,neutral
57,Глава 58,0.0,0,0,0,0,0,neutral
58,IX.,-1.0,-0.25,4,2,2,0,negative
59,Глава 60,-2.0,-2.0,1,0,1,0,negative
60,Глава 61,0.0,0,0,0,0,0,neutral
61,Глава 62,-3.0,-1.5,2,0,2,0,negative
62,Глава 63,0.0,0,0,0,0,0,neutral
63,Глава 64,-2.0,-2.0,1,0,1,0,negative
64,Глава 65,-6.0,-0.6,10,4,6,0,negative
65,Глава 66,0.0,0.0,2,1,1,0,neutral
66,Глава 67,1.0,0.1429,7,4,3,0,positive
67,Глава 68,-4.0,-0.25,16,6,10,0,negative
68,Глава 69,0.0,0.0,4,2,2,0,neutral
69,Глава 70,2.0,1.0,2,2,0,0,positive
70,Глава 71,-1.0,-1.0,1,0,1,0,negative
71,Глава 72,-4.0,-2.0,2,0,2,0,negative
72,Глава 73,1.0,0.3333,3,2,1,0,positive
73,Глава 74,0.0,0.0,3,2,1,0,neutral
74,Глава 75,3.0,1.5,2,2,0,0,positive
75,Глава 76,1.0,1.0,1,1,0,0,positive
76,Глава 77,-2.0,-2.0,1,0,1,0,negative
77,Глава 78,-12.0,-1.5,8,1,7,0,negative
78,Глава 79,-1.0,-0.3333,3,1,2,0,negative
79,Глава 80,2.0,0.6667,3,2,1,0,positive
80,Глава 81,-3.0,-0.6,5,2,3,0,negative
81,Глава 82,1.0,1.0,1,1,0,0,positive
82,Глава 83,0.0,0.0,2,1,1,0,neutral
83,Глава 84,2.0,1.0,2,2,0,0,positive
84,Глава 85,1.0,1.0,1,1,0,0,positive
85,Глава 86,-1.0,-0.5,2,1,1,0,negative
86,Глава 87,0.0,0,0,0,0,0,neutral
87,Глава 88,-3.0,-1.0,3,1,2,0,negative
88,Глава 89,0.0,0,0,0,0,0,neutral
89,Глава 90,1.0,1.0,1,1,0,0,positive
90,Глава 91,1.0,0.3333,3,2,1,0,positive
91,Глава 92,-11.0,-1.8333,6,0,6,0,negative
92,Глава 93,-5.0,-1.6667,3,0,3,0,negative
93,Глава 94,1.0,1.0,1,1,0,0,positive
94,Глава 95,-1.0,-0.2,5,3,2,0,negative
95,Глава 96,1.0,1.0,1,1,0,0,positive
96,Глава 97,5.0,0.5556,9,6,3,0,positive
97,Глава 98,-1.0,-1.0,1,0,1,0,negative
98,Глава 99,-5.0,-1.25,4,1,3,0,negative
99,Глава 100,37.0,1.48,25,21,4,0,positive
100,Глава 101,-2.0,-2.0,1,0,1,0,negative
101,Глава 102,12.0,0.4138,29,19,10,0,positive
