name,name_lower,occurrences,first_offset,chapters,num_chapters,context_sample
Князь Андрей,андр,239,27192,"2,3,4,5,21,22,23,25,26,32,33,34,35,36,38,39,40,41,43,44,45,51,53,55,56,59,60,63",28,Князь Андрей зажмурился и отверн
Пьера,пьер,198,15100,"1,2,3,4,5,6,9,10,11,13,14,15,16,17,18,19,21,45,46,51,63",21," при виде вошедшего Пьера, в лице Анны Павлов"
Илья Ростов,рост,185,110157,"10,11,12,13,27,28,31,42,44,51,52,54,57,61,62",15,"‑‑ Это тот Илья Ростов, который женился на"
Чт,чт,116,4536,"0,3,4,5,6,8,9,10,12,14,15,16,19,21,22,23,24,25,26,27,28,30,31,32,33,35,36,38,40,41,42,43,44,45,46,47,48,49,50,51,53,55,56,57,58,59,60,61,62,63",50,"сль наших действий. Чтò
они сказали Новоси"
Кутузова,кутуз,98,10130,"0,3,24,25,26,32,33,35,36,37,38,44,51,53,55,56,58,59,60,62",20,"se Мейнен, адъютант Кутузова. Он
будет нынче у м"
Князь Василий,василий,93,3092,"0,1,2,3,6,9,10,11,16,17,18,19,45,46,47,48,49,63",18,Князь Василий говорил всегда лени
Борисе,борис,92,29309,"3,6,7,8,9,10,11,13,15,50,51,52,53,61,63",15,"жете, князь, о моем Борисе? ‑‑ сказала она, до"
Анна Михайловна,михайловн,88,31878,"3,6,7,8,9,10,11,12,13,16,17,18,19,20,50,51,63",17,"‑‑ Chère Анна Михайловна, ‑‑ сказал он с сво"
Анна Павловна,павловн,79,958,"0,1,2,3,4,5,6,45,46",9,"авшего на ее вечер. Анна Павловна кашляла
несколько д"
Андрея,андре,71,27259,"2,4,5,20,21,23,26,32,33,34,35,36,38,39,40,43,44,48,49,51,53,55,56,59,60,63",26,"времени входа князя
Андрея в гостиную не спуск"
Багратиону,багратион,66,329167,"31,36,37,38,39,40,41,42,43,44,51,54,56,57,58,61",16," ординарцем к князю
Багратиону. Он приехал к своем"
Васьки Денисова,денис,65,288027,"27,28,30,31,42,44,51,52,54,57",10," дивизии под именем Васьки Денисова, была отведена лучш"
Марьей,марь,60,196374,"20,21,22,23,47,48,49,63",8," с дочерью, княжною Марьей, и при ней
компаньо"
Наташа,наташ,58,83904,"7,8,9,13,14,15,44,50,57",9,И Наташа не могла больше гов
Ах,ах,57,3766,"0,5,6,8,9,10,11,12,16,19,21,22,23,24,27,31,32,45,46,48,50,51,53,55,63",25,"‑‑ Ах, не говорите мне пр"
Бонапарте,бонапарт,48,4791,"0,2,3,5,8,14,21,22,26,32,33,35,36,37,38,40,52,53,55,56,63",21,"я уже объявила, что Бонапарте непобедим и что вся"
Болконский,болконский,45,9874,"0,2,25,26,33,34,35,36,40,47,51,53,59,60,63",15,"тот известный
князь Болконский, отставленный еще п"
Bourienne,bourienne,43,196412,"20,21,22,23,47,48,49",7,"компаньонкой, m‑lle Bourienne.213 И в новое царст"
Тушин,туш,43,396173,"38,39,40,42,43,44",6,"у, как вам, капитан Тушин, не стыдно? ‑‑ прод"
Долохова,долох,41,65312,"5,6,24,25,38,42,43,44,45,62",10,‑‑ Я за Долохова! ‑‑ кричал третий. 
Ежели,ежел,39,2622,"0,3,4,5,9,10,11,16,18,23,26,27,33,34,36,37,39,45,46,47,48,51,53,55,56,58",26,"‑‑ Ежели бы знали, что вы эт"
Наполеон,наполеон,38,23924,"2,3,4,11,21,35,37,53,55,57,58,63",12,"тившись с герцогом, Наполеон
случайно упал в тот"
Несвицкий,несвицкий,38,263625,"25,26,29,30,31,36,53,59,60",9,"ним шел его товарищ Несвицкий, высокий
штаб‑офице"
Бога,бог,37,4991,"0,1,3,8,12,15,16,17,21,23,25,28,30,36,41,42,44,46,47,50,57,59,60,63",24,e.9 Я верю в одного Бога и в высокую судьбу 
Ростовой,ростов,37,74718,"6,8,10,27,28,31,50,51,52,53,54,57,61,62,63",15,"стному дому графини Ростовой на Поварской.
Графи"
Соня,сон,37,84816,"7,8,9,13,14,15,44,50",8," старший сын графа, Соня ‑‑
пятнадцатилетняя"
Ипполит,ипполит,35,8357,"0,1,2,3,4,5,34,45,48,63",10,"ли des imbéciles.19 Ипполит,
по крайней мере, п"
Билибина,билиб,35,349202,"33,34,35,36,53,55,63",7," русского
дипломата Билибина."
Элен,элен,34,11197,"1,2,3,45,46,63",6," Василия,
красавица Элен, заехавшая за отцом"
Анатоль,анатоль,33,8401,"0,5,45,47,48,49,63",7,", покойный дурак, а Анатоль ‑‑ беспокойный. Вот"
Василью,василь,33,29045,"3,4,10,17,19,45,46,47,48,49,63",11,"родня по отцу князю Василью. Пожилая дама, сиде"
Петербурга,петербург,31,11051,"1,3,4,5,6,9,10,11,13,14,18,21,25,33,45,46,47,62,63",19,"иехала высшая
знать Петербурга, люди самые разноро"
Жерков,жерк,30,272697,"25,26,28,31,40,44",6,Гусарский корнет Жерков одно время в Петерб
Анатоля,анатол,28,7589,"0,4,5,45,46,47,48,49",8,"ных детей (исключая
Анатоля, вашего меньшого, я"
Долгоруков,долгорук,28,587462,"53,54,55,56,57,61,62",7,"сный человек, князь Долгоруков; и хотя вы этого мо"
Теперь,теперь,25,22215,"2,3,4,6,9,11,16,23,25,33,36,42,44,45,46,47,50,62",18,"‑‑ Теперь мне хорошо, ‑‑ приг"
