name,name_lower,occurrences,first_offset,chapters,num_chapters,context_sample
Пьер,пьер,507,11268,"1,3,8,9,10,11,12,26,27,28,29,47,48,49,50,66,67,69,70,71,72,73,78,80,82,83,84,85,86,87,88,89,102,103,104,105,106,108,109,110,111,112,125,126,143,144,145,146,149,150,151,152,153,156,158,178,179,196,197,198,199,207,208,210,222,223,225,226,227,236,238,242,247,248,249,257,258,259,260,272,273,274,275,276,277,278,279,280,287,288,293,294,295,303,304,307,308,309,310,311,313,314,319,320",104,"счастный развратный Пьер), не отвечал ей, вд"
Наташа,наташ,329,34950,"4,6,7,13,14,15,27,45,55,56,57,69,70,71,73,78,81,82,83,84,85,86,87,88,89,108,109,110,111,125,134,135,144,146,153,154,155,157,158,183,195,203,206,207,218,224,225,226,227,228,230,232,233,234,235,236,238,239,240,241,242,243,244,245,246,247,248,249,257,258,259,276,278,279,287,289,304,308,309,310,311",81,"я, когда моя сестра Наташа была невестой ее
бр"
Марьи,марь,249,31507,"4,5,6,7,13,14,15,55,56,57,69,70,71,72,73,79,80,81,82,83,84,85,86,87,88,113,114,158,180,181,182,200,201,209,210,228,229,237,238,239,246,248,262,267,268,269,270,285,286,287,289,304,308,309,310,311",56,"нцева, тетка княжны Марьи по матери, богатая
"
Наполеона,наполеон,231,9067,"1,3,16,18,23,24,25,27,29,30,31,32,33,34,35,51,52,53,54,58,59,64,65,67,71,74,75,76,77,90,91,92,93,94,95,98,103,106,107,122,139,143,144,145,146,147,149,150,174,185,187,189,194,215,217,218,250,251,252,261,266,276,277,278,279,283,290,292,293,296,298,304,305,310,313,314,315,316,317,319,320,321,322,323,324,325,327,329,330,331,332,333,334,335,336",95,"и о пленении самого Наполеона, о низложении его и"
Москва,москв,220,6722,"0,1,2,3,5,6,7,8,9,11,13,14,16,17,18,23,24,25,27,28,29,30,32,33,34,35,42,43,47,48,51,52,54,55,57,58,59,64,66,67,68,69,70,71,74,76,78,79,82,83,85,90,108,110,123,136,144,145,146,153,156,195,196,222,235,236,237,239,242,247,252,257,258,264,265,267,272,273,277,278,279,282,283,286,289,292,293,294,295,296,297,303,304,308,310,312,313,314,316,317,320,321,323,324,325,329,330,332,336",109,"рвопрестольный
град Москва, Новый Иерусалим, п"
Денисов,денис,162,154642,"21,22,38,39,40,41,42,43,44,45,46,66,82,84,86,87,88,115,117,162,164,165,175,186,195,197,198,203,206,212,214,215,216,271,292,299,300,301,302,303,311,325",42,Граф Орлов‑Денисов с казаками (самый н
Кутузова,кутуз,157,8499,"1,2,3,17,18,19,20,22,23,24,30,31,32,33,34,53,54,58,59,60,64,65,102,103,106,108,114,115,121,125,144,146,161,166,169,170,187,188,190,191,193,253,266,271,272,274,275,277,282,283,290,291,292,296,297,298,299,305,306,307,313,314,320,323,334,335,336",67,"ил конверт от князя Кутузова.
Это было донесение"
Андрей,андр,142,53780,"6,7,13,14,15,27,66,71,89,103,104,106,108,114,115,118,119,120,121,122,123,124,125,132,134,143,166,167,168,169,171,172,173,185,191,194,201,209,210,218,219,220,225,226,227,253,265,277,279,289,329",51,"ла о том, что князь
Андрей в числе раненых еха"
Николай,николай,135,22938,"3,4,5,6,7,13,78,79,80,81,82,84,85,86,87,88,89,108,109,110,111,125,134,153,158,204,205,230,232,234,235,284,310,311,319,333,336",37,"одинского сражения, Николай получил деньги,
бум"
Андрее,андре,127,31956,"4,5,6,7,13,14,15,27,55,57,66,69,70,71,78,83,89,104,106,108,114,115,118,119,121,122,124,125,141,150,151,152,158,166,168,176,177,185,187,188,190,191,194,200,201,209,210,218,219,220,221,225,226,227,228,230,236,241,244,245,246,247,248,253,255,257,262,263,264,265,271,272,275,276,277,278,279,286,287,289,304,308",82,"иколай знал о князе Андрее,
который тоже видим"
Николай Ростов,рост,111,22035,"3,4,5,6,39,50,66,71,79,101,109,115,117,123,125,132,153,154,155,156,157,158,162,165,175,177,184,186,189,192,193,195,196,197,198,202,204,205,207,211,212,213,214,215,216,217,230,239,256,257,269,270,284,285,286,300,302,310,311",59,Николай Ростов без всякой цели сам
Петя,пет,110,260238,"39,40,41,42,43,44,45,46,56,57,78,84,89,141,145,153,183,234,259,260,300,301,302,303,304",25,‑‑ Ростов! Петя! ‑‑ крикнул в это в
Соня,сон,106,33652,"4,5,6,7,13,15,56,57,70,78,79,80,81,82,83,84,86,87,108,109,110,111,153,154,155,158,183,195,202,203,204,218,233,234,235,239,241,244,246,286,287,289,310",43,"о сватать начнет, а Соня?…"" И прощаясь с
губ"
Петербурге,петербург,99,262,"0,1,2,3,16,17,18,23,24,32,58,64,65,67,69,71,73,78,82,83,84,86,87,88,89,95,101,108,115,144,147,153,156,178,199,207,208,219,220,221,222,224,253,266,277,281,282,283,291,309,310,311,312,314,315,316,319,321,323,327,332,333,335",63,"В Петербурге, в высших кругах, с"
Александру,александр,98,170342,"24,25,35,74,75,77,90,91,92,93,94,132,137,139,140,146,184,186,187,190,215,216,217,218,225,251,254,255,260,261,281,282,283,291,306,310,312,313,314,315,316,319,321,322,323,324,327,330,332,334,335,336",52,"письмо к
императору Александру, в котором он счита"
Николая,никола,97,24202,"3,4,5,6,7,13,14,45,78,79,80,81,82,83,85,86,87,88,89,108,109,110,111,113,141,153,154,155,158,183,184,195,201,202,203,206,207,211,213,215,216,230,231,232,233,234,235,258,270,285,286,287,310,311",54,"ое свойство) принял Николая и значительно, как "
Чт,чт,87,9957,"1,4,6,7,11,13,14,15,16,26,27,31,32,35,40,43,45,48,55,57,60,62,63,70,71,73,74,81,86,87,88,89,90,94,96,97,102,106,108,110,111,114,115,121,125,132,143,144,336",49,‑‑ Чтó я вам говорил про 
Долохов,долох,86,254697,"38,39,40,41,43,44,46,50,108,114,122,124,125,145,152,160,171,176,177,193,198,202,203,204,241,246,275,299,300,301",30,амшева точно так же Долохов должен был исследов
России,росси,82,7368,"0,1,3,5,16,18,20,22,23,24,27,32,35,54,59,60,65,67,74,75,76,87,90,94,95,96,102,106,108,114,115,125,141,143,144,250,251,258,311,312,313,315,316,320,321,323,324,325,326,327,329,330,331,332,336",55,"ии обносит на краях
России смертоносные ужасы;"
Бориса,борис,74,773197,"108,109,110,111,125,137,150,154,155,156,158,184,185,208,215,223,224,226,239,241,275",21,"
Р. В.: ‑‑ Мама! мы Бориса… ха‑ха!… женили на "
Анны Павловны,павловн,65,1620,"0,1,102,103,104,105,106,108,147,150,151,208,266,316,336",15,"У Анны Павловны 26‑го августа, в са"
Ростовых,ростовых,48,52983,"6,7,66,69,71,78,79,81,82,84,110,113,153,157,202,203,206,224,225,226,227,228,230,231,233,234,240,241,242,249,257,259,278,279,287,289,310",37,"чти всего имущества Ростовых в Москве, и не раз "
Каратаев,карата,44,89172,"11,12,26,27,47,48,49,50,71,85,89,288,293,294,303,304",16,‑‑ Я‑то? ‑‑ спросил Каратаев. ‑‑ Я говорю не наш
Опечатка,опечатк,43,931584,"125,132,133,134,135,143,144",7, 68 г.: на штанине? Опечатка.
Его,его,41,8855,"1,50,66,82,112,121,134,149,156,158,160,186,191,207,208,210,215,220,224,228,230,242,249,251,256,267,276,277,278,292,294,297,300,305,307,308,310,336",38,"цу благодарность за Его помощь
и за победу."
Кутузове,кутузов,39,12031,"1,17,18,22,23,30,32,34,35,58,59,60,64,65,103,114,115,125,144,175,176,266,271,282,290,291,296,306,313,335,336",31,"жде восхваляемом им
Кутузове (ему простительно б"
Войны,войн,39,699300,"101,114,125,136,143,144,312,332,336",9,"ения между текстом ""Войны и Мира"", напечатанн"
Ах,ах,38,9939,"1,4,7,13,21,29,31,39,40,42,44,45,62,66,71,79,81,82,88,89,108,111,112,115,120,121,125,143,336",29,"ая потеря Кутайсов!
Ах, как жаль!"
Франции,франци,37,7343,"0,1,35,75,76,77,90,93,96,106,120,144,146,316,317,318,321,322,323,325,329,331,332,336",24," Голиаф от пределов Франции обносит на краях
Ро"
Бога,бог,37,52687,"6,7,11,15,20,21,23,29,45,46,48,50,66,71,77,79,84,86,89,93,97,101,115,116,123,136,141,144,336",29,"о происходило не от Бога, Которого он просил"
Мира,мир,34,699308,"101,125,136,332,336",5,"ду текстом ""Войны и Мира"", напечатанном в ""Р"
Толстого,толстого,34,1298795,"332,336",2,ого сражения корпус Толстого возвратился сухим п
Nicolas,nicolas,33,28207,"3,4,6,7,73,79,80,81,82,84,88,101,108,110,111,123,125,144,146",19,"ика и
называла его ""Nicolas"" и ""ты""."
Смоленском,смоленск,33,48447,"6,16,23,25,30,33,34,35,38,49,51,52,53,144,145,261,263,264,266,298,299,303,314,323,336",25,"ное впечатление под Смоленском. То,
что он встрети"
